,concept,session,run,subject_id,trial_id,stimulus
110,candle,1,2,1,105,candle_12n.jpg
111,candy,1,8,1,592,candy_12s.jpg
112,candy_bar,1,9,1,690,candy_bar_12s.jpg
113,cane,1,6,1,483,cane_12s.jpg
114,cannon,1,5,1,355,cannon_12n.jpg
115,canoe,1,1,1,18,canoe_12s.jpg
116,canvas,1,4,1,293,canvas_12s.jpg
117,car,1,8,1,590,car_12s.jpg
118,cardigan,1,1,1,35,cardigan_12s.jpg
119,carousel,1,7,1,562,carousel_12s.jpg
120,carrot,1,5,1,332,carrot_12s.jpg
121,cashew,1,6,1,460,cashew_12s.jpg
122,cassette,1,5,1,390,cassette_12s.jpg
123,cat,1,3,1,206,cat_12s.jpg
124,caterpillar,1,3,1,169,caterpillar_12s.jpg
125,cauliflower,1,10,1,745,cauliflower_12s.jpg
126,celery,1,3,1,239,celery_12n.jpg
127,cellphone,1,7,1,560,cellphone_12s.jpg
128,chair,1,6,1,455,chair_12s.jpg
129,chalice,1,3,1,217,chalice_12s.jpg
130,chalk,1,8,1,599,chalk_12s.jpg
131,chalkboard,1,8,1,654,chalkboard_12s.jpg
132,chandelier,1,3,1,178,chandelier_12s.jpg
133,cheese,1,7,1,510,cheese_12s.jpg
134,cheetah,1,4,1,283,cheetah_12s.jpg
135,cherry,1,9,1,687,cherry_12s.jpg
136,chess_piece,1,1,1,30,chess_piece_12s.jpg
137,chest1,1,4,1,285,chest1_12s.jpg
138,chest2,1,3,1,215,chest2_12s.jpg
139,chicken_wire,1,1,1,8,chicken_wire_12s.jpg
140,chili,1,2,1,163,chili_12s.jpg
141,chin,1,8,1,614,chin_12s.jpg
142,chinchilla,1,3,1,242,chinchilla_12s.jpg
143,chip,1,1,1,50,chip_12s.jpg
144,chipmunk,1,10,1,741,chipmunk_12s.jpg
145,chocolate,1,3,1,172,chocolate_12s.jpg
146,christmas_tree,1,5,1,335,christmas_tree_12s.jpg
147,cinnamon,1,10,1,789,cinnamon_12s.jpg
148,clarinet,1,5,1,328,clarinet_12s.jpg
149,clay,1,8,1,646,clay_12s.jpg
150,clipboard,1,1,1,67,clipboard_12s.jpg
151,clock,1,7,1,565,clock_12n.jpg
152,closet,1,7,1,517,closet_12s.jpg
153,coat,1,9,1,662,coat_12s.jpg
154,coat_rack,1,10,1,795,coat_rack_12s.jpg
155,cockroach,1,5,1,362,cockroach_12s.jpg
156,coconut,1,8,1,623,coconut_12s.jpg
157,coffee_pot,1,2,1,122,coffee_pot_12s.jpg
158,coffin,1,10,1,817,coffin_12s.jpg
159,coin,1,3,1,204,coin_12s.jpg
160,coleslaw,1,1,1,52,coleslaw_12s.jpg
161,comb,1,4,1,275,comb_12s.jpg
162,compass,1,9,1,700,compass_12n.jpg
163,computer,1,8,1,633,computer_12s.jpg
164,computer_screen,1,8,1,606,computer_screen_12s.jpg
165,confetti,1,2,1,152,confetti_12s.jpg
166,contact_lens,1,9,1,681,contact_lens_12s.jpg
167,cookie,1,3,1,231,cookie_12s.jpg
168,copier,1,10,1,775,copier_12s.jpg
169,cork,1,9,1,711,cork_12s.jpg
170,corkscrew,1,6,1,488,corkscrew_12s.jpg
171,corn,1,7,1,552,corn_12s.jpg
172,cotton_candy,1,8,1,632,cotton_candy_12s.jpg
173,couch,1,5,1,342,couch_12s.jpg
174,coverall,1,10,1,751,coverall_12s.jpg
175,cow,1,1,1,10,cow_12s.jpg
176,cranberry,1,1,1,68,cranberry_12s.jpg
177,crank,1,9,1,733,crank_12s.jpg
178,crate,1,5,1,387,crate_12s.jpg
179,crayfish,1,1,1,6,crayfish_12s.jpg
180,crayon,1,7,1,570,crayon_12s.jpg
181,credit_card,1,9,1,729,credit_card_12s.jpg
182,crib,1,10,1,755,crib_12s.jpg
183,croissant,1,2,1,112,croissant_12s.jpg
184,crouton,1,3,1,241,crouton_12s.jpg
185,crowbar,1,10,1,743,crowbar_12s.jpg
186,crown,1,8,1,641,crown_12s.jpg
187,crutch,1,4,1,312,crutch_12s.jpg
188,crystal1,1,8,1,648,crystal1_12s.jpg
189,cucumber,1,7,1,536,cucumber_12s.jpg
190,cufflink,1,5,1,358,cufflink_12s.jpg
191,cup,1,2,1,128,cup_12s.jpg
192,cupcake,1,3,1,165,cupcake_12s.jpg
193,curtain,1,2,1,132,curtain_12s.jpg
194,cymbal,1,3,1,175,cymbal_12s.jpg
195,dashboard,1,10,1,778,dashboard_12s.jpg
196,deer,1,7,1,541,deer_12s.jpg
197,defibrillator,1,8,1,640,defibrillator_12s.jpg
198,desk,1,8,1,636,desk_12s.jpg
199,diaper,1,10,1,807,diaper_12s.jpg
200,dice,1,4,1,284,dice_12s.jpg
201,dish,1,1,1,23,dish_12s.jpg
202,dishrag,1,2,1,107,dishrag_12s.jpg
203,dishwasher,1,6,1,470,dishwasher_12n.jpg
204,dog,1,1,1,0,dog_12s.jpg
205,doll,1,8,1,637,doll_12s.jpg
206,dollhouse,1,1,1,77,dollhouse_12s.jpg
207,dolly,1,7,1,556,dolly_12s.jpg
208,dolphin,1,8,1,605,dolphin_12s.jpg
209,donkey,1,4,1,323,donkey_12s.jpg
210,donut,1,4,1,321,donut_12s.jpg
211,doormat,1,4,1,295,doormat_12s.jpg
212,dough,1,6,1,480,dough_12s.jpg
213,dragonfly,1,2,1,143,dragonfly_12s.jpg
214,drain,1,6,1,432,drain_12s.jpg
215,drawer,1,1,1,38,drawer_12s.jpg
216,dress,1,4,1,288,dress_12s.jpg
217,dresser,1,6,1,430,dresser_12n.jpg
218,drill,1,6,1,411,drill_12s.jpg
219,drum,1,1,1,29,drum_12s.jpg
220,duster,1,9,1,697,duster_12s.jpg
221,dustpan,1,8,1,587,dustpan_12s.jpg
222,earring,1,7,1,497,earring_12s.jpg
223,earwig,1,10,1,777,earwig_12s.jpg
224,easel,1,5,1,366,easel_12s.jpg
225,egg,1,6,1,412,egg_12s.jpg
226,egg_roll,1,8,1,579,egg_roll_12n.jpg
227,eggbeater,1,9,1,688,eggbeater_12s.jpg
228,eggplant,1,7,1,531,eggplant_12s.jpg
229,elbow,1,4,1,258,elbow_12s.jpg
230,elephant,1,7,1,507,elephant_12n.jpg
231,emerald,1,6,1,461,emerald_12s.jpg
232,envelope,1,9,1,726,envelope_12s.jpg
233,extinguisher,1,9,1,694,extinguisher_12s.jpg
234,eyedropper,1,7,1,522,eyedropper_12s.jpg
235,eyepiece,1,3,1,164,eyepiece_12s.jpg
236,face,1,7,1,555,face_12s.jpg
237,face_mask,1,5,1,334,face_mask_12s.jpg
238,fence,1,8,1,653,fence_12s.jpg
239,fern,1,9,1,707,fern_12s.jpg
240,ferret,1,7,1,524,ferret_12s.jpg
241,ferris_wheel,1,8,1,635,ferris_wheel_12s.jpg
242,fig,1,2,1,151,fig_12s.jpg
243,filing_cabinet,1,2,1,103,filing_cabinet_12s.jpg
244,fire,1,10,1,750,fire_12s.jpg
245,firetruck,1,5,1,353,firetruck_12s.jpg
246,fireworks,1,5,1,402,fireworks_12s.jpg
247,fish,1,10,1,785,fish_12s.jpg
248,flag,1,9,1,677,flag_12s.jpg
249,flashbulb,1,8,1,615,flashbulb_12s.jpg
250,flashlight,1,7,1,539,flashlight_12s.jpg
251,floss,1,9,1,725,floss_12s.jpg
252,flower,1,2,1,94,flower_12s.jpg
253,flyswatter,1,9,1,684,flyswatter_12s.jpg
254,fondue,1,1,1,80,fondue_12s.jpg
255,football_helmet,1,3,1,219,football_helmet_12s.jpg
256,footbath,1,3,1,222,footbath_12s.jpg
257,footprint,1,3,1,167,footprint_12s.jpg
258,footrest,1,4,1,306,footrest_12s.jpg
259,forklift,1,1,1,51,forklift_12s.jpg
260,frog,1,3,1,186,frog_12s.jpg
261,fudge,1,1,1,48,fudge_12s.jpg
262,game,1,3,1,209,game_12s.jpg
263,garbage,1,6,1,414,garbage_12s.jpg
264,gargoyle,1,6,1,424,gargoyle_12s.jpg
265,garlic,1,8,1,631,garlic_12n.jpg
266,garter,1,1,1,61,garter_12s.jpg
267,gauze,1,3,1,233,gauze_12s.jpg
268,gearshift,1,4,1,281,gearshift_12n.jpg
269,gel,1,6,1,465,gel_12s.jpg
270,giraffe,1,7,1,551,giraffe_12s.jpg
271,girl,1,4,1,262,girl_12s.jpg
272,glass,1,1,1,78,glass_12s.jpg
273,go-kart,1,10,1,756,go-kart_12s.jpg
274,goalpost,1,5,1,330,goalpost_12s.jpg
275,goat,1,8,1,634,goat_12n.jpg
276,golf_cart,1,3,1,193,golf_cart_12s.jpg
277,gondola,1,1,1,27,gondola_12s.jpg
278,graffiti,1,2,1,120,graffiti_12s.jpg
279,gramophone,1,10,1,779,gramophone_12s.jpg
280,granite,1,10,1,808,granite_12s.jpg
281,granola,1,1,1,64,granola_12s.jpg
282,grape,1,8,1,645,grape_12s.jpg
283,grapefruit,1,5,1,386,grapefruit_12s.jpg
284,grasshopper,1,7,1,569,grasshopper_12s.jpg
285,grate,1,5,1,370,grate_12s.jpg
286,gravel,1,10,1,782,gravel_12n.jpg
287,gravestone,1,2,1,124,gravestone_12s.jpg
288,grenade,1,5,1,379,grenade_12s.jpg
289,grits,1,3,1,200,grits_12s.jpg
290,groundhog,1,5,1,395,groundhog_12n.jpg
291,guacamole,1,9,1,658,guacamole_12s.jpg
292,guardrail,1,5,1,329,guardrail_12s.jpg
293,guillotine,1,3,1,190,guillotine_12s.jpg
294,guitar,1,8,1,643,guitar_12s.jpg
295,gun,1,3,1,207,gun_12s.jpg
296,hairbrush,1,10,1,767,hairbrush_12s.jpg
297,hairpin,1,1,1,65,hairpin_12n.jpg
298,hamburger,1,2,1,82,hamburger_12s.jpg
299,hammer,1,5,1,381,hammer_12s.jpg
300,hammock,1,1,1,22,hammock_12s.jpg
301,hamster,1,9,1,669,hamster_12s.jpg
302,hand,1,7,1,495,hand_12s.jpg
303,handcuff,1,5,1,409,handcuff_12s.jpg
304,hanger,1,2,1,100,hanger_12s.jpg
305,hatbox,1,8,1,600,hatbox_12s.jpg
306,hay,1,8,1,604,hay_12s.jpg
307,headlamp,1,1,1,74,headlamp_12s.jpg
308,headphones,1,3,1,227,headphones_12s.jpg
309,hedge,1,10,1,742,hedge_12s.jpg
310,hedgehog,1,4,1,246,hedgehog_12s.jpg
311,helicopter,1,7,1,530,helicopter_12s.jpg
312,helmet,1,5,1,361,helmet_12s.jpg
313,highlighter,1,8,1,595,highlighter_12s.jpg
314,hip,1,5,1,339,hip_12s.jpg
315,hippopotamus,1,3,1,240,hippopotamus_12s.jpg
316,honeycomb,1,8,1,628,honeycomb_12s.jpg
317,hood,1,4,1,248,hood_12s.jpg
318,horse,1,3,1,184,horse_12s.jpg
319,horseshoe,1,3,1,220,horseshoe_12s.jpg
320,hotdog,1,3,1,245,hotdog_12s.jpg
321,hotplate,1,9,1,661,hotplate_12s.jpg
322,hourglass,1,3,1,191,hourglass_12s.jpg
323,hovercraft,1,2,1,148,hovercraft_12s.jpg
324,hula_hoop,1,3,1,225,hula_hoop_12s.jpg
325,iceskate,1,4,1,305,iceskate_12s.jpg
326,icicle,1,6,1,489,icicle_12s.jpg
327,iguana,1,4,1,270,iguana_12s.jpg
328,inhaler,1,8,1,608,inhaler_12s.jpg
329,iron,1,2,1,108,iron_12s.jpg
330,jack,1,2,1,95,jack_12s.jpg
331,jam,1,6,1,487,jam_12s.jpg
332,jar,1,7,1,494,jar_12s.jpg
333,jeans,1,5,1,354,jeans_12s.jpg
334,jellyfish,1,2,1,127,jellyfish_12s.jpg
335,jersey,1,9,1,715,jersey_12s.jpg
336,joystick,1,8,1,613,joystick_12s.jpg
337,jukebox,1,6,1,415,jukebox_12n.jpg
338,kale,1,7,1,515,kale_12s.jpg
339,kangaroo,1,10,1,791,kangaroo_12s.jpg
340,kazoo,1,2,1,86,kazoo_12s.jpg
341,kebab,1,4,1,278,kebab_12n.jpg
342,kettle,1,5,1,385,kettle_12s.jpg
343,key,1,10,1,749,key_12s.jpg
344,kimono,1,4,1,290,kimono_12s.jpg
345,kite,1,8,1,597,kite_12s.jpg
346,knife,1,1,1,14,knife_12s.jpg
347,knot,1,3,1,238,knot_12s.jpg
348,koala,1,6,1,472,koala_12s.jpg
349,ladder,1,5,1,331,ladder_12s.jpg
350,ladle,1,10,1,766,ladle_12s.jpg
351,lamp,1,2,1,109,lamp_12s.jpg
352,lampshade,1,5,1,333,lampshade_12s.jpg
353,lantern,1,10,1,748,lantern_12s.jpg
354,lasagna,1,6,1,454,lasagna_12s.jpg
355,lawnmower,1,7,1,499,lawnmower_12s.jpg
356,lectern,1,2,1,123,lectern_12s.jpg
357,leek,1,10,1,814,leek_12s.jpg
358,leggings,1,3,1,228,leggings_12s.jpg
359,lego,1,1,1,42,lego_12s.jpg
360,lemon,1,6,1,434,lemon_12s.jpg
361,lemonade,1,10,1,754,lemonade_12s.jpg
362,leopard,1,5,1,383,leopard_12s.jpg
363,lettuce,1,10,1,806,lettuce_12s.jpg
364,life_jacket,1,9,1,689,life_jacket_12s.jpg
365,lightbulb,1,5,1,359,lightbulb_12s.jpg
366,lime,1,5,1,384,lime_12s.jpg
367,limousine,1,4,1,326,limousine_12s.jpg
368,lingerie,1,10,1,797,lingerie_12s.jpg
369,lion,1,5,1,396,lion_12s.jpg
370,lip_balm,1,7,1,544,lip_balm_12s.jpg
371,lizard,1,1,1,17,lizard_12n.jpg
372,llama,1,7,1,557,llama_12s.jpg
373,lobster,1,4,1,297,lobster_12s.jpg
374,lock,1,4,1,251,lock_12s.jpg
375,locker,1,9,1,732,locker_12s.jpg
376,lollipop,1,8,1,638,lollipop_12s.jpg
377,macadamia,1,10,1,764,macadamia_12n.jpg
378,magnifying_glass,1,3,1,168,magnifying_glass_12s.jpg
379,mailbox,1,8,1,627,mailbox_12s.jpg
380,man,1,7,1,535,man_12s.jpg
381,manatee,1,4,1,273,manatee_12s.jpg
382,mandolin,1,4,1,280,mandolin_12s.jpg
383,mango,1,1,1,1,mango_12s.jpg
384,manhole,1,2,1,106,manhole_12n.jpg
385,map,1,6,1,429,map_12s.jpg
386,marijuana,1,3,1,202,marijuana_12s.jpg
387,marshmallow,1,9,1,719,marshmallow_12s.jpg
388,mascara,1,6,1,491,mascara_12s.jpg
389,mask,1,2,1,145,mask_12s.jpg
390,mast,1,7,1,521,mast_12s.jpg
391,match,1,10,1,800,match_12s.jpg
392,meat,1,8,1,616,meat_12s.jpg
393,meat_grinder,1,7,1,564,meat_grinder_12s.jpg
394,meatball,1,3,1,170,meatball_12s.jpg
395,melon,1,4,1,264,melon_12s.jpg
396,microphone,1,4,1,322,microphone_12s.jpg
397,microscope,1,7,1,518,microscope_12s.jpg
398,milk,1,10,1,774,milk_12s.jpg
399,milkshake,1,10,1,783,milkshake_12s.jpg
400,mirror,1,1,1,49,mirror_12s.jpg
401,missile,1,4,1,320,missile_12n.jpg
402,mistletoe,1,4,1,261,mistletoe_12s.jpg
403,mitten,1,6,1,490,mitten_12s.jpg
404,monkey,1,5,1,376,monkey_12s.jpg
405,moose,1,4,1,250,moose_12s.jpg
406,mop,1,1,1,76,mop_12s.jpg
407,mosquito,1,7,1,493,mosquito_12s.jpg
408,mosquito_net,1,6,1,471,mosquito_net_12s.jpg
409,moth,1,4,1,317,moth_12n.jpg
410,motorcycle,1,9,1,735,motorcycle_12s.jpg
411,mouse1,1,3,1,183,mouse1_12s.jpg
412,mousetrap,1,2,1,116,mousetrap_12s.jpg
413,mousse,1,8,1,581,mousse_12s.jpg
414,muffin,1,9,1,737,muffin_12n.jpg
415,mushroom,1,6,1,450,mushroom_12n.jpg
416,nacho,1,7,1,509,nacho_12s.jpg
417,nail_polish,1,8,1,575,nail_polish_12s.jpg
418,napkin_ring,1,6,1,427,napkin_ring_12s.jpg
419,necklace,1,1,1,37,necklace_12s.jpg
420,needle,1,9,1,734,needle_12s.jpg
421,nest,1,8,1,622,nest_12s.jpg
422,net,1,6,1,473,net_12s.jpg
423,noodle,1,7,1,540,noodle_12s.jpg
424,nose,1,2,1,137,nose_12s.jpg
425,oar,1,5,1,408,oar_12s.jpg
426,oatmeal,1,10,1,746,oatmeal_12s.jpg
427,octopus,1,3,1,176,octopus_12s.jpg
428,odometer,1,5,1,372,odometer_12s.jpg
429,okra,1,4,1,274,okra_12s.jpg
430,omelet,1,6,1,467,omelet_12s.jpg
431,onion,1,6,1,419,onion_12n.jpg
432,otter,1,6,1,453,otter_12s.jpg
433,overalls,1,2,1,119,overalls_12s.jpg
434,oyster,1,2,1,146,oyster_12s.jpg
435,pacifier,1,10,1,809,pacifier_12s.jpg
436,padlock,1,6,1,435,padlock_12s.jpg
437,paint,1,2,1,135,paint_12s.jpg
438,paintbrush,1,2,1,129,paintbrush_12s.jpg
439,pan,1,3,1,232,pan_12s.jpg
440,pancake,1,8,1,583,pancake_12s.jpg
441,panda,1,1,1,4,panda_12s.jpg
442,pantyhose,1,4,1,269,pantyhose_12s.jpg
443,papaya,1,10,1,757,papaya_12s.jpg
444,paper,1,4,1,309,paper_12s.jpg
445,paperclip,1,2,1,83,paperclip_12s.jpg
446,parachute,1,2,1,126,parachute_12s.jpg
447,parsley,1,5,1,343,parsley_12n.jpg
448,pastry,1,7,1,547,pastry_12s.jpg
449,pea,1,4,1,294,pea_12s.jpg
450,peach,1,4,1,319,peach_12s.jpg
451,peanut,1,5,1,382,peanut_12s.jpg
452,pear,1,10,1,815,pear_12s.jpg
453,pecan,1,9,1,703,pecan_12s.jpg
454,peeler,1,4,1,327,peeler_12s.jpg
455,pencil,1,10,1,790,pencil_12n.jpg
456,pencil_sharpener,1,5,1,364,pencil_sharpener_12n.jpg
457,penguin,1,8,1,594,penguin_12s.jpg
458,pepper1,1,6,1,449,pepper1_12s.jpg
459,petal,1,8,1,585,petal_12s.jpg
460,phone,1,4,1,301,phone_12s.jpg
461,piano,1,9,1,731,piano_12n.jpg
462,pickle,1,5,1,406,pickle_12s.jpg
463,pie,1,10,1,738,pie_12s.jpg
464,pig,1,9,1,674,pig_12s.jpg
465,pigeon,1,7,1,492,pigeon_12s.jpg
466,pill,1,9,1,664,pill_12s.jpg
467,pillow,1,7,1,511,pillow_12s.jpg
468,pineapple,1,2,1,160,pineapple_12s.jpg
469,ping-pong_table,1,1,1,58,ping-pong_table_12s.jpg
470,pinwheel,1,9,1,727,pinwheel_12s.jpg
471,pistachio,1,6,1,462,pistachio_12s.jpg
472,pizza,1,3,1,203,pizza_12s.jpg
473,plastic_film,1,7,1,533,plastic_film_12s.jpg
474,plate,1,5,1,345,plate_12s.jpg
475,platypus,1,9,1,666,platypus_12s.jpg
476,playing_card,1,3,1,237,playing_card_12s.jpg
477,pliers,1,7,1,519,pliers_12s.jpg
478,plum,1,3,1,174,plum_12s.jpg
479,pocket,1,4,1,318,pocket_12s.jpg
480,pocketknife,1,7,1,553,pocketknife_12s.jpg
481,pogo_stick,1,1,1,54,pogo_stick_12s.jpg
482,polaroid,1,7,1,528,polaroid_12s.jpg
483,pom-pom,1,10,1,811,pom-pom_12s.jpg
484,pomegranate,1,5,1,397,pomegranate_12s.jpg
485,popcorn,1,8,1,619,popcorn_12n.jpg
486,popsicle,1,5,1,341,popsicle_12s.jpg
487,porcupine,1,7,1,568,porcupine_12s.jpg
488,possum,1,3,1,166,possum_12s.jpg
489,poster,1,4,1,277,poster_12s.jpg
490,pot,1,1,1,53,pot_12s.jpg
491,potato,1,8,1,629,potato_12s.jpg
492,pothole,1,6,1,426,pothole_12n.jpg
493,powder,1,9,1,665,powder_12s.jpg
494,praying_mantis,1,10,1,818,praying_mantis_12s.jpg
495,pretzel,1,5,1,336,pretzel_12s.jpg
496,prism,1,5,1,404,prism_12s.jpg
497,projector,1,3,1,236,projector_12s.jpg
498,puck,1,4,1,253,puck_12s.jpg
499,pudding,1,7,1,559,pudding_12s.jpg
500,pumpkin,1,3,1,230,pumpkin_12s.jpg
501,punch1,1,7,1,543,punch1_12s.jpg
502,punching_bag,1,6,1,474,punching_bag_12s.jpg
503,quill,1,9,1,685,quill_12s.jpg
504,rabbit,1,3,1,177,rabbit_12n.jpg
505,raccoon,1,1,1,71,raccoon_12n.jpg
506,racket,1,9,1,708,racket_12s.jpg
507,radiator,1,1,1,70,radiator_12s.jpg
508,radish,1,6,1,481,radish_12s.jpg
509,raft,1,1,1,72,raft_12s.jpg
510,railing,1,4,1,298,railing_12s.jpg
511,raspberry,1,7,1,527,raspberry_12s.jpg
512,rat,1,1,1,24,rat_12s.jpg
513,rattle,1,4,1,272,rattle_12s.jpg
514,razor,1,6,1,486,razor_12s.jpg
515,ready_meal,1,3,1,205,ready_meal_12s.jpg
516,record,1,10,1,794,record_12s.jpg
517,refrigerator,1,7,1,513,refrigerator_12s.jpg
518,retainer,1,10,1,787,retainer_12s.jpg
519,revolver,1,10,1,753,revolver_12s.jpg
520,rhinoceros,1,7,1,523,rhinoceros_12s.jpg
521,rhubarb,1,5,1,347,rhubarb_12s.jpg
522,ribbon,1,4,1,254,ribbon_12s.jpg
523,rice,1,9,1,699,rice_12s.jpg
524,rifle,1,5,1,393,rifle_12n.jpg
525,ring,1,7,1,525,ring_12s.jpg
526,road_sign,1,1,1,81,road_sign_12s.jpg
527,robot,1,4,1,247,robot_12s.jpg
528,rocking_chair,1,9,1,724,rocking_chair_12s.jpg
529,roll,1,3,1,189,roll_12s.jpg
530,rollerblade,1,6,1,445,rollerblade_12s.jpg
531,roof_rack,1,2,1,138,roof_rack_12s.jpg
532,rug,1,2,1,149,rug_12s.jpg
533,ruler,1,7,1,548,ruler_12s.jpg
534,saddle,1,6,1,475,saddle_12s.jpg
535,saltshaker,1,6,1,468,saltshaker_12s.jpg
536,sandpaper,1,2,1,140,sandpaper_12s.jpg
537,satellite_dish,1,7,1,546,satellite_dish_12s.jpg
538,scaffolding,1,9,1,721,scaffolding_12n.jpg
539,scallion,1,6,1,448,scallion_12s.jpg
540,scanner,1,5,1,407,scanner_12s.jpg
541,scarecrow,1,10,1,762,scarecrow_12s.jpg
542,scissors,1,1,1,63,scissors_12s.jpg
543,scone,1,10,1,744,scone_12s.jpg
544,scoreboard,1,2,1,96,scoreboard_12s.jpg
545,scorpion,1,9,1,667,scorpion_12s.jpg
546,screwdriver,1,6,1,484,screwdriver_12s.jpg
